Label,Soft_window_feature_192,Bone_window_feature_322,Standard_window_feature_74,Standard_window_feature_1635,Bone_window_feature_154,Soft_window_feature_1546,Bone_window_feature_10,Soft_window_feature_1012,Standard_window_feature_912,Soft_window_feature_1710,Standard_window_feature_208,Standard_window_feature_273,Bone_window_feature_1857,Standard_window_feature_511,Standard_window_feature_460,Soft_window_feature_216,Bone_window_feature_1253,Bone_window_feature_1843,Standard_window_feature_1149,Soft_window_feature_1507
1,-1.125525865,0.398147547,-1.395311463,-1.232439936,1.513841023,-1.412262353,-0.051251505,0.447794274,1.201096677,-0.598131239,0.650769629,-0.544897024,-1.005489558,1.728733585,0.894819139,-0.82817404,1.204645446,-0.496791377,1.119609673,0.277172351
0,0.693293559,-0.313372129,-1.1801355,0.022821631,2.65625291,1.426397931,-0.040321302,0.282352184,0.05841883,0.966385746,-0.858306894,0.392279418,-0.836775705,0.263419092,-0.475830389,-0.856666363,-1.679038515,0.731855441,1.410754633,0.740206628
1,-1.125628017,-0.869877579,-0.595390866,0.317684897,0.998136551,-1.373497242,0.033454347,0.442957011,-0.277729416,-1.012361288,-0.432084284,0.023114788,1.284040615,1.684165255,0.929387324,-0.250744812,1.475948573,-1.355436308,-0.882115327,-0.039062941
0,2.236935357,0.72293434,0.710889637,0.52022353,-0.134617445,-0.020854557,1.522829767,-0.12744826,-0.927603988,-1.606147151,-0.441479281,0.633607361,1.077284491,-0.971607395,0.582764286,0.447025977,0.526139783,0.475860137,-1.160130893,-0.969500775
0,0.707498766,2.195564141,0.621666144,0.505311471,0.694490092,-0.1672114,-0.361750947,1.32810546,0.556420503,0.521047163,-0.195523113,-0.146775281,0.723139738,1.547328981,0.236592611,-0.854116328,-0.624864807,0.86481458,-0.008723511,-1.182862733
1,-0.372078763,-1.154131283,-0.709900066,-0.060050459,1.056812808,1.962895379,0.055950222,0.524722011,0.867302192,-1.278887322,0.415340454,-0.634719567,0.667917501,-0.58452137,-0.591402375,1.195011028,0.803681009,0.220985804,0.531296473,0.018119851
1,-1.206184554,1.232812147,-1.723030115,-0.076118735,-1.254771894,0.234170138,1.352945246,-0.973999653,-2.162387433,1.203049136,-0.327358381,-1.39519466,-0.695966231,-1.817547149,-0.142730702,-0.524588917,0.424175592,0.519105625,0.67838276,1.424325086
0,-1.285472404,0.052194607,0.269337096,0.14785695,-0.249917631,-0.097135213,0.419087984,-0.735591824,0.420336942,2.152326921,1.01747603,0.002019667,1.150643071,-0.20672427,-0.001163042,1.290808108,-0.776241897,-0.65893943,-0.13270643,0.161575668
1,0.337968005,0.016595959,-1.087410925,-0.715807206,-0.477818287,-0.662139699,0.293020899,-0.471120626,1.787081968,0.554318906,-1.328236075,-0.23133773,1.025832884,0.459512925,-0.839449841,1.473318611,0.927830886,0.351071937,0.44199396,-0.129378219
1,1.770419795,-1.095772098,1.498568903,-1.078977577,-1.203447356,0.99635587,-0.147614822,-0.981529593,0.396512201,1.76777786,-1.443211164,-0.441993764,1.242575618,-0.532071618,-0.903460304,0.103719809,1.530877078,0.823665262,1.450971429,0.370275083
1,1.097811397,-0.857176015,-0.627758079,-0.533053886,-1.734686423,-0.480122561,1.594341817,-1.11921598,-0.842358182,-0.204430332,-1.097743771,-0.218569302,-0.659856759,0.481085656,0.78373863,0.535046859,-0.260719497,-0.153906222,0.278219667,0.097569687
1,0.155693741,-0.640245415,-0.018887293,-0.934575107,-1.360062512,-1.332596753,0.987604438,-0.357720442,-0.649239765,0.903573779,0.4876525,-0.516288282,-0.278538751,-1.079158147,-0.284298669,0.110841053,-0.135308575,0.007325987,1.930769709,-0.491484453
1,-1.542085145,-0.587864854,-0.311272419,-0.051896727,-0.399486912,0.802611532,0.486540502,-1.658506072,1.019270326,0.838359773,1.399147591,-1.425598137,0.844739568,0.345753942,0.701537041,-0.96063751,0.015540582,0.9213518,-0.743142619,1.605176328
0,-0.005620778,1.939995246,1.173262938,1.533571118,1.020297036,1.224573915,-0.034578565,0.190601987,-2.043659935,0.645598539,-0.656232074,-0.019818854,1.025541294,-0.909571178,2.204220225,0.482052412,1.671228645,-0.370800401,-0.410445559,1.177423928
1,-1.450192945,-0.60160364,-1.223663121,-1.149325311,0.029803789,-0.7317131,2.890840512,-0.307459466,-0.197712246,2.472589791,0.819988799,1.32976815,-0.331207306,-0.201558926,0.157074586,-0.976909498,-1.345883836,-1.619933461,-0.231843311,-0.12171672
0,-0.066198731,1.552976952,-0.247612157,-0.846166557,-1.293525529,1.114896361,-0.469575582,0.148619399,0.209329199,-1.204051774,-0.521421845,1.300012271,1.088441279,-0.091487709,0.001066389,0.782706036,0.398045203,-2.231970028,0.222029576,-0.029007372
1,-1.155299973,-1.013799357,1.929404007,0.181605095,-0.138437854,-0.35604695,0.786214741,0.08136445,0.292123181,-1.896388882,-0.639995207,-0.113563684,-0.038092733,1.174968533,-0.149335307,-0.987987643,-0.082915815,-0.436253414,1.800444703,-0.474770691
0,0.344142846,1.7325694,0.624477327,-0.246589395,-0.099167721,0.524660346,0.171798263,-0.352236068,-1.625474223,0.561458439,0.393650481,0.17540589,-0.66203104,-0.037833185,0.547013696,-0.994200276,-0.418453776,-0.32716711,-1.551387211,-1.057214035
0,1.973868821,0.754854247,0.679519734,-0.561845563,-1.257092167,0.532387282,-0.133379727,0.025901107,-0.700565851,-0.318382776,0.557281418,-0.39582338,0.285593004,-0.474545335,-1.400084135,1.627767714,-0.919459546,0.862726715,-0.239930845,0.00569776
0,-0.844827743,0.641861739,0.078164177,-0.444697189,0.10614233,-0.632631907,0.727481327,-0.193896564,-0.301644871,0.082714224,-1.534297829,0.890182766,1.280432245,-0.103436127,-0.247714273,0.301809396,-1.240564694,0.117859558,-1.638135803,-0.917532092
1,1.129187436,-0.458021891,-0.666139751,-0.155281732,-1.063889846,-1.571807262,1.364864887,-1.866284563,0.558620814,0.267036481,-0.143257664,-0.656764311,1.448198787,1.139378474,0.635432217,-1.654735418,-1.263360233,-0.757229047,0.554774908,-0.302619208
1,-0.399149056,-0.825083684,-0.234002059,-0.139199239,2.390135388,1.031009217,2.148967161,-1.028692254,0.795342185,0.924280595,-0.861345238,1.483691308,0.630316194,0.589477687,2.080335101,1.265846414,0.292862975,-0.235197062,-0.553220672,1.089799535
0,-0.053352575,-0.175353204,0.22142494,1.17223564,-0.033651394,0.356479631,-0.191626153,0.53164219,0.738645599,-0.40889309,-0.855265853,1.235116933,0.626407643,1.169169138,-0.768854464,-0.042999861,0.320903326,0.540826627,0.576099839,0.313652152
0,-0.125980897,-1.038341969,-1.229330675,0.731288477,-1.373974017,-0.116186019,0.2444959,0.430535087,-1.466240766,0.712931607,1.804400368,1.182886133,-1.563518438,-0.867369673,0.811582523,-0.108520696,0.423047288,-1.107088824,-0.797414317,-0.365074464
1,-0.063243822,-0.944528715,-1.633941826,-1.648082053,-0.874775877,-0.754412116,-0.990418625,0.041204485,1.016832633,1.302534347,-0.891386948,-0.193147534,-0.698010227,-0.484230355,-0.634479074,-0.467305563,-0.28817882,1.61258888,-0.183852231,0.965575668
